K,P,Algorithm,Prune,Runtime,MaxMemory
6,0.01,1,1,,
6,0.01,1,2,,
6,0.01,2,1,,
6,0.01,2,2,,
6,0.01,3,1,,
6,0.01,3,2,,
6,0.01,4,1,,
6,0.01,4,2,,
6,0.01,5,1,,
6,0.01,5,2,,
6,0.01,6,1,,
6,0.01,6,2,,
6,0.03,1,1,,
6,0.03,1,2,,
6,0.03,2,1,,
6,0.03,2,2,,
6,0.03,3,1,,
6,0.03,3,2,,
6,0.03,4,1,,
6,0.03,4,2,,
6,0.03,5,1,,
6,0.03,5,2,,
6,0.03,6,1,,
6,0.03,6,2,,
6,0.05,1,1,,
6,0.05,1,2,,
6,0.05,2,1,,
6,0.05,2,2,,
6,0.05,3,1,,
6,0.05,3,2,,
6,0.05,4,1,,
6,0.05,4,2,,
6,0.05,5,1,,
6,0.05,5,2,,
6,0.05,6,1,,
6,0.05,6,2,,
6,0.07,1,1,,
6,0.07,1,2,,
6,0.07,2,1,,
6,0.07,2,2,,
6,0.07,3,1,,
6,0.07,3,2,,
6,0.07,4,1,,
6,0.07,4,2,,
6,0.07,5,1,,
6,0.07,5,2,,
6,0.07,6,1,,
6,0.07,6,2,,
6,0.09,1,1,,
6,0.09,1,2,,
6,0.09,2,1,,
6,0.09,2,2,,
6,0.09,3,1,,
6,0.09,3,2,,
6,0.09,4,1,,
6,0.09,4,2,,
6,0.09,5,1,,
6,0.09,5,2,,
6,0.09,6,1,,
6,0.09,6,2,,
8,0.01,1,1,,
8,0.01,1,2,,
8,0.01,2,1,,
8,0.01,2,2,,
8,0.01,3,1,,
8,0.01,3,2,,
8,0.01,4,1,,
8,0.01,4,2,,
8,0.01,5,1,,
8,0.01,5,2,,
8,0.01,6,1,,
8,0.01,6,2,,
8,0.03,1,1,,
8,0.03,1,2,,
8,0.03,2,1,,
8,0.03,2,2,,
8,0.03,3,1,,
8,0.03,3,2,,
8,0.03,4,1,,
8,0.03,4,2,,
8,0.03,5,1,,
8,0.03,5,2,,
8,0.03,6,1,,
8,0.03,6,2,,
8,0.05,1,1,,
8,0.05,1,2,,
8,0.05,2,1,,
8,0.05,2,2,,
8,0.05,3,1,,
8,0.05,3,2,,
8,0.05,4,1,,
8,0.05,4,2,,
8,0.05,5,1,,
8,0.05,5,2,,
8,0.05,6,1,,
8,0.05,6,2,,
8,0.07,1,1,,
8,0.07,1,2,,
8,0.07,2,1,,
8,0.07,2,2,,
8,0.07,3,1,,
8,0.07,3,2,,
8,0.07,4,1,,
8,0.07,4,2,,
8,0.07,5,1,,
8,0.07,5,2,,
8,0.07,6,1,,
8,0.07,6,2,,
8,0.09,1,1,,
8,0.09,1,2,,
8,0.09,2,1,,
8,0.09,2,2,,
8,0.09,3,1,,
8,0.09,3,2,,
8,0.09,4,1,,
8,0.09,4,2,,
8,0.09,5,1,,
8,0.09,5,2,,
8,0.09,6,1,,
8,0.09,6,2,,
10,0.01,1,1,,
10,0.01,1,2,,
10,0.01,2,1,,
10,0.01,2,2,,
10,0.01,3,1,,
10,0.01,3,2,,
10,0.01,4,1,,
10,0.01,4,2,,
10,0.01,5,1,,
10,0.01,5,2,,
10,0.01,6,1,,
10,0.01,6,2,,
10,0.03,1,1,,
10,0.03,1,2,,
10,0.03,2,1,,
10,0.03,2,2,,
10,0.03,3,1,,
10,0.03,3,2,,
10,0.03,4,1,,
10,0.03,4,2,,
10,0.03,5,1,,
10,0.03,5,2,,
10,0.03,6,1,,
10,0.03,6,2,,
10,0.05,1,1,,
10,0.05,1,2,,
10,0.05,2,1,,
10,0.05,2,2,,
10,0.05,3,1,,
10,0.05,3,2,,
10,0.05,4,1,,
10,0.05,4,2,,
10,0.05,5,1,,
10,0.05,5,2,,
10,0.05,6,1,,
10,0.05,6,2,,
10,0.07,1,1,,
10,0.07,1,2,,
10,0.07,2,1,,
10,0.07,2,2,,
10,0.07,3,1,,
10,0.07,3,2,,
10,0.07,4,1,,
10,0.07,4,2,,
10,0.07,5,1,,
10,0.07,5,2,,
10,0.07,6,1,,
10,0.07,6,2,,
10,0.09,1,1,,
10,0.09,1,2,,
10,0.09,2,1,,
10,0.09,2,2,,
10,0.09,3,1,,
10,0.09,3,2,,
10,0.09,4,1,,
10,0.09,4,2,,
10,0.09,5,1,,
10,0.09,5,2,,
10,0.09,6,1,,
10,0.09,6,2,,
12,0.01,1,1,,
12,0.01,1,2,,
12,0.01,2,1,,
12,0.01,2,2,,
12,0.01,3,1,,
12,0.01,3,2,,
12,0.01,4,1,,
12,0.01,4,2,,
12,0.01,5,1,,
12,0.01,5,2,,
12,0.01,6,1,,
12,0.01,6,2,,
12,0.03,1,1,,
12,0.03,1,2,,
12,0.03,2,1,,
12,0.03,2,2,,
12,0.03,3,1,,
12,0.03,3,2,,
12,0.03,4,1,,
12,0.03,4,2,,
12,0.03,5,1,,
12,0.03,5,2,,
12,0.03,6,1,,
12,0.03,6,2,,
12,0.05,1,1,,
12,0.05,1,2,,
12,0.05,2,1,,
12,0.05,2,2,,
12,0.05,3,1,,
12,0.05,3,2,,
12,0.05,4,1,,
12,0.05,4,2,,
12,0.05,5,1,,
12,0.05,5,2,,
12,0.05,6,1,,
12,0.05,6,2,,
12,0.07,1,1,,
12,0.07,1,2,,
12,0.07,2,1,,
12,0.07,2,2,,
12,0.07,3,1,,
12,0.07,3,2,,
12,0.07,4,1,,
12,0.07,4,2,,
12,0.07,5,1,,
12,0.07,5,2,,
12,0.07,6,1,,
12,0.07,6,2,,
12,0.09,1,1,,
12,0.09,1,2,,
12,0.09,2,1,,
12,0.09,2,2,,
12,0.09,3,1,,
12,0.09,3,2,,
12,0.09,4,1,,
12,0.09,4,2,,
12,0.09,5,1,,
12,0.09,5,2,,
12,0.09,6,1,,
12,0.09,6,2,,
14,0.01,1,1,,
14,0.01,1,2,,
14,0.01,2,1,,
14,0.01,2,2,,
14,0.01,3,1,,
14,0.01,3,2,,
14,0.01,4,1,,
14,0.01,4,2,,
14,0.01,5,1,,
14,0.01,5,2,,
14,0.01,6,1,,
14,0.01,6,2,,
14,0.03,1,1,,
14,0.03,1,2,,
14,0.03,2,1,,
14,0.03,2,2,,
14,0.03,3,1,,
14,0.03,3,2,,
14,0.03,4,1,,
14,0.03,4,2,,
14,0.03,5,1,,
14,0.03,5,2,,
14,0.03,6,1,,
14,0.03,6,2,,
14,0.05,1,1,,
14,0.05,1,2,,
14,0.05,2,1,,
14,0.05,2,2,,
14,0.05,3,1,,
14,0.05,3,2,,
14,0.05,4,1,,
14,0.05,4,2,,
14,0.05,5,1,,
14,0.05,5,2,,
14,0.05,6,1,,
14,0.05,6,2,,
14,0.07,1,1,,
14,0.07,1,2,,
14,0.07,2,1,,
14,0.07,2,2,,
14,0.07,3,1,,
14,0.07,3,2,,
14,0.07,4,1,,
14,0.07,4,2,,
14,0.07,5,1,,
14,0.07,5,2,,
14,0.07,6,1,,
14,0.07,6,2,,
14,0.09,1,1,,
14,0.09,1,2,,
14,0.09,2,1,,
14,0.09,2,2,,
14,0.09,3,1,,
14,0.09,3,2,,
14,0.09,4,1,,
14,0.09,4,2,,
14,0.09,5,1,,
14,0.09,5,2,,
14,0.09,6,1,,
14,0.09,6,2,,
